vid,name,seattle
1000,Auburn-North,0
1100,Auburn-South,0
2000,Ballard,1
2100,Beacon/Gtown/S.Park,1
2200,Capitol Hill/E.lake,1
2300,Central Seattle,1
2400,Delridge,1
2500,Downtown,1
2550,Fremont/Greenlake,1
2600,NE Seattle,1
2700,North Seattle,1
2800,NW Seattle,1
2900,QA/Magnolia,1
2950,SE Seattle,1
2960,West Seattle,1
3000,Bear Creek/Carnation/Duvall,0
4000,Bellevue-Central,0
4100,Bellevue-NE,0
4200,Bellevue-South,0
4300,Bellevue-West,0
5000,Black Diamond/Enumclaw/SE County,0
6000,Bothell/Woodinville,0
7000,Burien,0
8000,Covington/Maple Valley,0
9000,Des Moines/Normandy Park,0
10000,East Federal Way,0
10100,Fed Way-Central/Military Rd,0
10200,Fed Way-Dash Pt,0
11000,Fairwood,0
12000,Issaquah,0
13000,Kenmore/LFP,0
14000,Kent-East,0
14100,Kent-SE,0
14200,Kent-West,0
15000,Kirkland,0
15100,Kirkland North,0
16000,Mercer Isle/Pt Cities,0
17000,Newcastle/Four Creeks,0
18000,North Highline,0
19000,Redmond,0
20000,Renton-East,0
20100,Renton-North,0
20200,Renton-South,0
21000,Sammamish,0
22000,SeaTac/Tukwila,0
23000,Shoreline,0
24000,Snoqualmie/N.Bend/Skykomish,0
25000,Vashon Island,0
