geo_zip,geo_city,geo_region,geo_king_county,geo_po_box,geo_scc,geo_multi_county,notes
98001,Auburn,South,1,,,,
98002,Auburn,South,1,,,,
98003,Federal Way,South,1,,,,
98004,Bellevue,East,1,,,,
98005,Bellevue,East,1,,,,
98006,Bellevue,East,1,,,,
98007,Bellevue,East,1,,,,
98008,Bellevue,East,1,,,,
98009,Bellevue,East,1,1,,,
98010,Black Diamond,South,1,,,,
98011,Bothell,North,1,,,,
98013,"Burton, Vashon",South,1,1,,,
98014,Carnation,East,1,,,,
98015,Bellevue,East,1,1,,,
98019,Duvall,East,1,,,1,
98022,Enumclaw,South,1,,,1,
98023,Federal Way,South,1,,,,
98024,Fall City,East,1,,,,
98025,Hobart,East,1,1,,,
98027,Issaquah,East,1,,,,
98028,Bothell,North,1,,,,
98029,Issaquah,East,1,,,,
98030,Kent,South,1,,,,Started in 2003
98031,Kent,South,1,,,,
98032,Kent,South,1,,,,
98033,Kirkland,East,1,,,,
98034,Kirkland,East,1,,,,
98035,Kent,South,1,1,,,
98038,Maple Valley,South,1,,,,
98039,Medina,East,1,,,,
98040,Mercer Island,East,1,,,,
98041,Bothell,North,1,1,,,
98042,Kent,South,1,,,,
98045,North Bend,East,1,,,,
98047,Auburn,South,1,,,1,
98050,Preston,East,1,1,,,
98051,Reavensdale,South,1,,,,
98052,Redmond,East,1,,,,
98053,Redmond,East,1,,,,
98055,Renton,South,1,,,,
98056,Renton,South,1,,,,
98057,Renton,South,1,1,,,
98058,Renton,South,1,,,,
98059,Renton,East,1,,,,
98062,Seahurst,South,1,1,,,
98063,Auburn,South,1,1,,,
98064,Kent,South,1,1,,,
98065,Snoqualmie,East,1,,,,
98070,Vashon,South,1,,,,
98071,Auburn,South,1,1,,,
98072,Woodinville,North,1,,,1,
98073,Redmond,East,1,1,,,
98074,Samamish/Redmond,East,1,,,,
98075,Samamish/Issaquah,East,1,,,,
98077,Woodinville,East,1,,,1,
98083,Kirkland,East,1,1,,,
98089,Kent,South,1,1,,,
98092,Auburn,South,1,,,1,
98093,Auburn,South,1,1,,,
98101,Seattle,Seattle,1,,7,,
98102,Seattle,Seattle,1,,3,,
98103,Seattle,Seattle,1,,6,,
98104,Seattle,Seattle,1,,,,
98105,Seattle,Seattle,1,,4,,
98106,Seattle,Seattle,1,,1,,
98107,Seattle,Seattle,1,,6,,
98108,Seattle,Seattle,1,,2,,
98109,Seattle,Seattle,1,,7,,
98111,Seattle,Seattle,1,1,,,
98112,Seattle,Seattle,1,,3,,
98113,Seattle,Seattle,1,1,,,
98114,Seattle,Seattle,1,1,,,
98115,Seattle,Seattle,1,,4,,
98116,Seattle,Seattle,1,,1,,
98117,Seattle,Seattle,1,,6,,
98118,Seattle,Seattle,1,,2,,
98119,Seattle,Seattle,1,,7,,
98121,Seattle,Seattle,1,,7,,
98122,Seattle,Seattle,1,,3,,
98124,Seattle,Seattle,1,1,,,
98125,Seattle,Seattle,1,,5,,
98126,Seattle,Seattle,1,,1,,
98127,Seattle,Seattle,1,1,,,
98129,Seattle,Seattle,1,1,,,
98131,Seattle,Seattle,1,1,,,
98132,Seattle,Seattle,1,,,,
98133,Seattle/Shoreline,North,1,,5,,
98134,Seattle,Seattle,1,,,,
98136,Seattle,Seattle,1,,1,,
98138,Seattle,Seattle,1,1,,,
98139,Seattle,Seattle,1,1,,,
98141,Seattle,Seattle,1,1,,,
98144,Seattle,Seattle,1,,,,
98145,Seattle,Seattle,1,1,,,
98146,Burien/Seattle/White Center,South,1,,,,
98148,Burien/Normandy Park/SeaTac,South,1,,,,
98154,Seattle,Seattle,1,1,,,
98155,Seattle/Shoreline/Lake Forest Park,North,1,,,,
98158,Seattle,South,1,,,,
98160,Seattle,North,1,1,,,
98161,Seattle,Seattle,1,1,,,
98164,Seattle,Seattle,1,1,,,
98165,Seattle,Seattle,1,1,,,
98166,Burien/Normandy Park,South,1,,,,
98168,Burien/SeaTac/Tukwila/White Center,South,1,,,,
98170,Seattle,Seattle,1,1,,,
98171,Seattle,Seattle,1,1,,,
98174,Seattle,Seattle,1,1,,,
98175,Seattle,Seattle,1,1,,,
98177,Seattle/Shoreline,North,1,,5,,
98178,Seattle/Bryn Mawr-Skyway,South,1,,,,
98181,Seattle,Seattle,1,1,,,
98185,Seattle,Seattle,1,1,,,
98188,Tukwila/SeaTac,South,1,,,,
98189,Kent,South,1,1,,,
98190,Seattle,Seattle,1,1,,,
98191,Seattle,Seattle,1,1,,,
98194,Seattle,Seattle,1,1,,,
98195,Seattle/UW,Seattle,1,,4,,Includes University of Washington dorms
98198,Des Moines/SeaTac,South,1,,,,
98199,Seattle,Seattle,1,,7,,
98224,Baring,East,1,,,,
98288,Skykomish,East,1,,,,
